f_s,Band Gap,Fractal Dimension,Topological Invariant,Z2 Index,Correlation Length,Self-Similarity,Is Phi
0.5,2.512562814070352,0.8322047852103087,0.0,0.0,0.39799999999999996,12880.0,False
0.55,2.512562814070352,0.8322047852103087,0.0,0.0,0.39799999999999996,12880.0,False
0.6,2.512562814070352,0.8322047852103087,0.0,0.0,0.39799999999999996,12880.0,False
0.65,2.512562814070352,0.8322047852103087,0.0,0.0,0.39799999999999996,12880.0,False
0.7,2.512562814070352,0.8322047852103087,0.0,0.0,0.39799999999999996,12880.0,False
0.75,2.512562814070352,0.8322047852103087,0.0,0.0,0.39799999999999996,12880.0,False
0.8,2.512562814070352,0.8322047852103087,0.0,0.0,0.39799999999999996,12880.0,False
0.8500000000000001,2.512562814070352,0.8322047852103087,0.0,0.0,0.39799999999999996,12880.0,False
0.9,2.512562814070352,0.8322047852103087,0.0,0.0,0.39799999999999996,12880.0,False
0.95,2.512562814070352,0.8322047852103087,0.0,0.0,0.39799999999999996,12880.0,False
1.0,2.512562814070352,0.8322047852103087,0.0,0.0,0.39799999999999996,12880.0,False
1.05,2.512562814070352,0.8322047852103087,0.0,0.0,0.39799999999999996,12880.0,False
1.1,2.512562814070352,0.8322047852103087,0.0,0.0,0.39799999999999996,12880.0,False
1.15,2.512562814070352,0.8322047852103087,0.0,0.0,0.39799999999999996,12880.0,False
1.2000000000000002,2.512562814070352,0.8322047852103087,0.0,0.0,0.39799999999999996,12880.0,False
1.25,2.512562814070352,0.8322047852103087,0.0,0.0,0.39799999999999996,12880.0,False
1.3,2.512562814070352,0.8322047852103087,0.0,0.0,0.39799999999999996,12880.0,False
1.35,2.512562814070352,0.8322047852103087,0.0,0.0,0.39799999999999996,12880.0,False
1.4,2.512562814070352,0.8322047852103087,0.0,0.0,0.39799999999999996,12880.0,False
1.4500000000000002,2.512562814070352,0.8322047852103087,0.0,0.0,0.39799999999999996,12880.0,False
1.5,2.512562814070352,0.8322047852103087,0.0,0.0,0.39799999999999996,12880.0,False
1.55,2.512562814070352,0.8322047852103087,0.0,0.0,0.39799999999999996,12880.0,False
1.6,2.512562814070352,0.8322047852103087,0.0,0.0,0.39799999999999996,12880.0,False
1.618033988749895,2.512562814070352,0.8322047852103087,0.0,0.0,0.39799999999999996,12880.0,True
1.625,2.512562814070352,0.8322047852103087,0.0,0.0,0.39799999999999996,12880.0,False
1.6500000000000001,2.512562814070352,0.8322047852103087,0.0,0.0,0.39799999999999996,12880.0,False
1.6666666666666667,2.512562814070352,0.8322047852103087,0.0,0.0,0.39799999999999996,12880.0,False
1.7000000000000002,2.512562814070352,0.8322047852103087,0.0,0.0,0.39799999999999996,12880.0,False
1.75,2.512562814070352,0.8322047852103087,0.0,0.0,0.39799999999999996,12880.0,False
1.8,2.512562814070352,0.8322047852103087,0.0,0.0,0.39799999999999996,12880.0,False
1.85,2.512562814070352,0.8322047852103087,0.0,0.0,0.39799999999999996,12880.0,False
1.9000000000000001,2.512562814070352,0.8322047852103087,0.0,0.0,0.39799999999999996,12880.0,False
1.9500000000000002,2.512562814070352,0.8322047852103087,0.0,0.0,0.39799999999999996,12880.0,False
2.0,2.512562814070352,0.8322047852103087,0.0,0.0,0.39799999999999996,12880.0,False
2.05,2.512562814070352,0.8322047852103087,0.0,0.0,0.39799999999999996,12880.0,False
2.1,2.512562814070352,0.8322047852103087,0.0,0.0,0.39799999999999996,12880.0,False
2.1500000000000004,2.512562814070352,0.8322047852103087,0.0,0.0,0.39799999999999996,12880.0,False
2.2,2.512562814070352,0.8322047852103087,0.0,0.0,0.39799999999999996,12880.0,False
2.25,2.512562814070352,0.8322047852103087,0.0,0.0,0.39799999999999996,12880.0,False
2.3,2.512562814070352,0.8322047852103087,0.0,0.0,0.39799999999999996,12880.0,False
2.35,2.512562814070352,0.8322047852103087,0.0,0.0,0.39799999999999996,12880.0,False
2.4000000000000004,2.512562814070352,0.8322047852103087,0.0,0.0,0.39799999999999996,12880.0,False
2.45,2.512562814070352,0.8322047852103087,0.0,0.0,0.39799999999999996,12880.0,False
2.5,2.512562814070352,0.8322047852103087,0.0,0.0,0.39799999999999996,12880.0,False
2.5500000000000003,2.512562814070352,0.8322047852103087,0.0,0.0,0.39799999999999996,12880.0,False
2.6,2.512562814070352,0.8322047852103087,0.0,0.0,0.39799999999999996,12880.0,False
2.65,2.512562814070352,0.8322047852103087,0.0,0.0,0.39799999999999996,12880.0,False
2.7,2.512562814070352,0.8322047852103087,0.0,0.0,0.39799999999999996,12880.0,False
2.75,2.512562814070352,0.8322047852103087,0.0,0.0,0.39799999999999996,12880.0,False
2.8000000000000003,2.512562814070352,0.8322047852103087,0.0,0.0,0.39799999999999996,12880.0,False
2.85,2.512562814070352,0.8322047852103087,0.0,0.0,0.39799999999999996,12880.0,False
2.9000000000000004,2.512562814070352,0.8322047852103087,0.0,0.0,0.39799999999999996,12880.0,False
2.95,2.512562814070352,0.8322047852103087,0.0,0.0,0.39799999999999996,12880.0,False
3.0,2.512562814070352,0.8322047852103087,0.0,0.0,0.39799999999999996,12880.0,False
